
 Class = View , Method = load_zones , Error = Index was outside the bounds of the array.

 Class = View , Method = load_Sites , Error = Index was outside the bounds of the array.

 Class = View , Method = load_radios , Error = Index was outside the bounds of the array.

 Class = View , Method = show_current_talkgroup , Error = Object reference not set to an instance of an object.

 Class = View , Method = show_current_talkgroup , Error = Object reference not set to an instance of an object.

 Class = View , Method = show_current_talkgroup , Error = Object reference not set to an instance of an object.

 Class = View , Method = show_current_talkgroup , Error = Object reference not set to an instance of an object.

 Class = View , Method = show_current_talkgroup , Error = Object reference not set to an instance of an object.

 Class = View , Method = show_current_talkgroup , Error = Object reference not set to an instance of an object.
